,gid,fma,fireblock,geom
10,11,01,0127,"MULTIPOLYGON (((-122.659707187 45.52293376100005, -122.659712106 45.52222095300004, -122.659720514 45.52079438300007, -122.6597254329999 45.52008157300003, -122.661800424 45.52007975400005, -122.662768783 45.52009188000005, -122.664792581 45.52009880200006, -122.6649249 45.52009924600003, -122.665143503 45.52009806400008, -122.6653990729999 45.52011674300007, -122.665533919 45.52021993600005, -122.666036041 45.52034949000006, -122.6659041349999 45.52072497900008, -122.665813962 45.52102625500004, -122.665755087 45.52130834100006, -122.665707539 45.52243509600004, -122.665673439 45.52300160600004, -122.665518844 45.52300158200006, -122.665394794 45.52299902500005, -122.665109227 45.52299755200005, -122.664776305 45.52299599400004, -122.663754637 45.52297509700003, -122.662754107 45.52296064700005, -122.662277427 45.52295101700003, -122.661782692 45.52294270400006, -122.6607212229999 45.52293721500007, -122.659707187 45.52293376100005)))"
11,12,01,0130,"MULTIPOLYGON (((-122.677167095 45.52175154600008, -122.6751292819999 45.52119881700003, -122.67657159 45.51853306700008, -122.679636137 45.51935118900008, -122.6806014699999 45.51961091200008, -122.68114868 45.51975325200004, -122.6807970949999 45.52042565500005, -122.680436813 45.52108941000006, -122.680075506 45.52176297300008, -122.680085246 45.52252446100005, -122.679157932 45.52227673900006, -122.6781912069999 45.52201800900008, -122.677167095 45.52175154600008)))"
12,13,01,0133,"MULTIPOLYGON (((-122.668259896 45.51968685400004, -122.669605524 45.51783657700003, -122.670055084 45.51684613900005, -122.671768293 45.51725530200008, -122.672575672 45.51746521000007, -122.673618189 45.51774213200008, -122.674566542 45.51799635300006, -122.6755500679999 45.51825968900005, -122.67657159 45.51853306700008, -122.6751292819999 45.52119881700003, -122.674107721 45.52092542700007, -122.673122763 45.52066210500004, -122.672175763 45.52040784700006, -122.671138734 45.52012982700006, -122.668259896 45.51968685400004)))"
13,14,01,0136,"MULTIPOLYGON (((-122.654632466 45.52220960500006, -122.654640295 45.52204890200005, -122.654647701 45.52077605700003, -122.655663165 45.52078148500004, -122.6566214219999 45.52078406200008, -122.659720514 45.52079438300007, -122.659712106 45.52222095300004, -122.659206503 45.52221968600003, -122.658696689 45.52221751700006, -122.657682665 45.52221404600004, -122.656668641 45.52221056600007, -122.655653225 45.52220710200004, -122.654632466 45.52220960500006)))"
14,15,01,0139,"MULTIPOLYGON (((-122.650294658 45.52413432600008, -122.649553549 45.52442427100004, -122.649557675 45.52361357900003, -122.649562684 45.52289979300008, -122.649577785 45.52076038900003, -122.654647701 45.52077605700003, -122.654640295 45.52204890200005, -122.654632466 45.52220960500006, -122.654481141 45.52229565800008, -122.6542723649999 45.52240922100003, -122.654060768 45.52252185700007, -122.653844883 45.52263163600003, -122.653617976 45.52274455900005, -122.65324434 45.52291799200003, -122.653013718 45.52300650800004, -122.652812361 45.52309545300005, -122.652597604 45.52319835600008, -122.6525914699999 45.52362433800005, -122.651731758 45.52361400700005, -122.651586085 45.52366568500003, -122.651013915 45.52389275600007, -122.650907882 45.52388788800005, -122.650567691 45.52402544200004, -122.650294658 45.52413432600008)))"
15,16,01,0151,"MULTIPOLYGON (((-122.670055084 45.51684613900005, -122.670228116 45.51623588300004, -122.670435358 45.51550064700007, -122.670625468 45.51482741200005, -122.6708427839999 45.51406457200005, -122.673062414 45.51453659100008, -122.673999391 45.51478613500007, -122.675063488 45.51508221600005, -122.675205234 45.51482009300003, -122.675238829 45.51475190500003, -122.6754331609999 45.51440850900008, -122.675804216 45.51373477300007, -122.676730322 45.51399135400004, -122.677735603 45.51424251100008, -122.678756347 45.51453350600008, -122.678389609 45.51521010600004, -122.678017937 45.51586721700005, -122.6776563719999 45.51653392600008, -122.677294762 45.51719965500007, -122.6769382959999 45.51785451700005, -122.67657159 45.51853306700008, -122.6755500679999 45.51825968900005, -122.674566542 45.51799635300006, -122.673618189 45.51774213200008, -122.672575672 45.51746521000007, -122.671768293 45.51725530200008, -122.670055084 45.51684613900005)))"
16,17,02,0201,"MULTIPOLYGON (((-122.6146971049999 45.59950779000008, -122.61451462 45.60078478200006, -122.613667078 45.60068287700005, -122.613055393 45.60058544600003, -122.612597043 45.60052337700006, -122.612441208 45.60053309000006, -122.612290356 45.60056424900006, -122.6121514549999 45.60061672700004, -122.612068365 45.60070733800006, -122.611988261 45.60072838800005, -122.6119224669999 45.60072176300008, -122.61191467 45.60066219000004, -122.611918058 45.60060338900007, -122.6118940109999 45.60055684000008, -122.611770649 45.60050232400005, -122.611608885 45.60046515600004, -122.611149406 45.60037275200006, -122.610911319 45.60034579400008, -122.610386078 45.60028494200003, -122.609842683 45.60022344200007, -122.609266034 45.60013024400007, -122.6089253279999 45.60011886700005, -122.608680047 45.60012336200003, -122.608559344 45.60014026000005, -122.6084058009999 45.60021160100007, -122.6083361189999 45.60021287800004, -122.608147478 45.60016542700004, -122.607899529 45.60013570600006, -122.6075528009999 45.60003730800003, -122.6071252899999 45.59990416600004, -122.606836744 45.59987029100006, -122.606524314 45.59986915800005, -122.606338074 45.59988627400003, -122.606010337 45.59992359900008, -122.605732383 45.59991204400006, -122.605033712 45.59976232000002, -122.604567033 45.59955058900005, -122.603801619 45.59921803200007, -122.6032135949999 45.59919353900005, -122.602774514 45.59923680600008, -122.60183731 45.59904736800007, -122.6007813149999 45.59896386100007, -122.59939981 45.59871398700005, -122.597173103 45.59808400200006, -122.595341228 45.59753293600005, -122.5931117869999 45.59671300500003, -122.5853045649999 45.59365845700006, -122.576799399 45.59029293600003, -122.576925736 45.58993529300005, -122.576954453 45.58984373100003, -122.57761103 45.59010598500004, -122.578525018 45.59046735400005, -122.5815061009999 45.59164401100003, -122.5831516269999 45.59229362800005, -122.583441817 45.59241172200007, -122.5837266509999 45.59253578600004, -122.5852111949999 45.59320493200005, -122.585460622 45.59331397100004, -122.585714051 45.59341804100006, -122.585971518 45.59351812300008, -122.588337065 45.59440522400007, -122.588537719 45.59447696200004, -122.588740945 45.59454277900005, -122.59023296 45.59499537500005, -122.590395163 45.59504529100008, -122.591835621 45.59553600400005, -122.595815772 45.59705341100005, -122.596174913 45.59718686100007, -122.59653802 45.59731436200008, -122.596906521 45.59743687100007, -122.597277558 45.59755247900006, -122.597652561 45.59766214000007, -122.598031527 45.59776585400004, -122.598413066 45.59786364500007, -122.598798533 45.59795451100007, -122.599186608 45.59804043300005, -122.599528043 45.59810958400004, -122.59987212 45.59817477000007, -122.600218769 45.59823403300004, -122.600566667 45.59828935700006, -122.600915777 45.59833976300007, -122.6012660649999 45.59838427300008, -122.603894161 45.59870531900003, -122.606326089 45.59900052800003, -122.60661738 45.59903337500003, -122.606911241 45.59906030100007, -122.607204919 45.59908233300007, -122.607499775 45.59909847100005, -122.6108859669999 45.59925275100005, -122.611384658 45.59927492900005, -122.6113887389999 45.59923471600007, -122.6114767559999 45.59923897400006, -122.611718255 45.59924531100006, -122.611960891 45.59924477500005, -122.6122018789999 45.59923741400007, -122.6124426489999 45.59922418300005, -122.612683126 45.59920312500003, -122.6129205619999 45.59917527100004, -122.613705851 45.59906686700003, -122.613929276 45.59903730900004, -122.614154387 45.59901555100004, -122.614381108 45.59899963800007, -122.614608049 45.59898959300006, -122.614835246 45.59898639700003, -122.615062661 45.59898906900003, -122.615288938 45.59899861500003, -122.61496999 45.59915915600004, -122.6146971049999 45.59950779000008)))"
17,18,02,0201R,"MULTIPOLYGON (((-122.6119224669999 45.60072176300008, -122.611988261 45.60072838800005, -122.612068365 45.60070733800006, -122.6121514549999 45.60061672700004, -122.612290356 45.60056424900006, -122.612441208 45.60053309000006, -122.612597043 45.60052337700006, -122.613055393 45.60058544600003, -122.613667078 45.60068287700005, -122.61451462 45.60078478200006, -122.614415123 45.60858800400007, -122.605930348 45.60828346800008, -122.588908373 45.60556088300007, -122.5786878059999 45.60335338500005, -122.5773794739999 45.59303431900003, -122.576799399 45.59029293600003, -122.5853045649999 45.59365845700006, -122.5931117869999 45.59671300500003, -122.595341228 45.59753293600005, -122.597173103 45.59808400200006, -122.59939981 45.59871398700005, -122.6007813149999 45.59896386100007, -122.60183731 45.59904736800007, -122.602774514 45.59923680600008, -122.6032135949999 45.59919353900005, -122.603801619 45.59921803200007, -122.604567033 45.59955058900005, -122.605033712 45.59976232000002, -122.605732383 45.59991204400006, -122.606010337 45.59992359900008, -122.606338074 45.59988627400003, -122.606524314 45.59986915800005, -122.606836744 45.59987029100006, -122.6071252899999 45.59990416600004, -122.6075528009999 45.60003730800003, -122.607899529 45.60013570600006, -122.608147478 45.60016542700004, -122.6083361189999 45.60021287800004, -122.6084058009999 45.60021160100007, -122.608559344 45.60014026000005, -122.608680047 45.60012336200003, -122.6089253279999 45.60011886700005, -122.609266034 45.60013024400007, -122.609842683 45.60022344200007, -122.610386078 45.60028494200003, -122.610911319 45.60034579400008, -122.611149406 45.60037275200006, -122.611608885 45.60046515600004, -122.611770649 45.60050232400005, -122.6118940109999 45.60055684000008, -122.611918058 45.60060338900007, -122.61191467 45.60066219000004, -122.6119224669999 45.60072176300008)))"
18,26,02,0255,"MULTIPOLYGON (((-122.528457777 45.56690099400004, -122.5279964969999 45.56670746500004, -122.527773633 45.56667223700003, -122.527663586 45.56659586100005, -122.526122055 45.56620404000006, -122.525427881 45.56612326800007, -122.524976639 45.56621051000008, -122.524902399 45.56620007000004, -122.52476687 45.56615155000003, -122.524714981 45.56610351600006, -122.52466473 45.56606230600005, -122.524595434 45.56603415800004, -122.524522307 45.56601586600004, -122.524443923 45.56600647700003, -122.524367561 45.56601467500008, -122.524296006 45.56604040800005, -122.5242245159999 45.56602894000008, -122.524167372 45.56598980900003, -122.524121195 45.56594559000007, -122.524057399 45.56591538700008, -122.52398678 45.56588921900004, -122.523912366 45.56587388700007, -122.5238356199999 45.56587132100003, -122.5237634009999 45.56587846600007, -122.523678473 45.56588094000006, -122.523601586 45.56587446100008, -122.523455091 45.56583102800005, -122.523303756 45.56580823800005, -122.523071567 45.56578491200003, -122.522716983 45.56576863400005, -122.52252999 45.56572297600007, -122.5224190499999 45.56569947400004, -122.522344776 45.56568805300003, -122.5222666019999 45.56568453300008, -122.522188463 45.56568199200007, -122.5219536279999 45.56566262600006, -122.521798326 45.56564577800003, -122.521725375 45.56563237600005, -122.521664158 45.56559625200003, -122.5215951069999 45.56557495000004, -122.521439874 45.56556005800007, -122.521205111 45.56554264700003, -122.520976788 45.56551043900004, -122.521157742 45.56515189900006, -122.521123766 45.56431549400003, -122.521151623 45.56212411200005, -122.521145662 45.56191765800003, -122.5211511099999 45.55475456700003, -122.521150721 45.55454801500008, -122.521170072 45.55434796800006, -122.525577137 45.55511818400004, -122.528530335 45.55563782800004, -122.5332111929999 45.55645970400008, -122.536257251 45.55700002600003, -122.537477286 45.55717518300003, -122.537725186 45.55720994800004, -122.537783379 45.55747225700003, -122.5378571159999 45.55777932200004, -122.53791675 45.55808174100008, -122.5379614779999 45.55847351100005, -122.537976708 45.55862595900004, -122.537966379 45.55876515400007, -122.537931569 45.55899876200004, -122.53788035 45.55920231400006, -122.537786931 45.55951136200008, -122.537720204 45.55967113600008, -122.537669683 45.55977775900004, -122.537603152 45.55990424500004, -122.5375445559999 45.56001884200003, -122.537473391 45.56013268300006, -122.537414198 45.56023064800007, -122.537360364 45.56032264500004, -122.537257375 45.56044292400003, -122.536170218 45.56195313100005, -122.535548445 45.56276296700003, -122.535379882 45.56299796300004, -122.5335550409999 45.56554909900007, -122.5319507029999 45.56776248200003, -122.531802047 45.56808718400003, -122.528457777 45.56690099400004)))"
19,19,02,0225,"MULTIPOLYGON (((-122.546675546 45.57412694400006, -122.546394961 45.57399977700004, -122.5468050599999 45.57346678100004, -122.5469977229999 45.57355243700005, -122.547092785 45.57359871300008, -122.547790107 45.57283641900005, -122.54849022 45.57219056700006, -122.549034089 45.57173447300005, -122.549629932 45.57132835700003, -122.549851119 45.57116190900007, -122.550000102 45.57104177800005, -122.550524418 45.57135646600005, -122.551408024 45.57185466200008, -122.552844743 45.57265330800004, -122.554552033 45.57357045400005, -122.5559935969999 45.57434646000007, -122.556181343 45.57418059600008, -122.556810189 45.57453156700007, -122.5573318149999 45.57473173500006, -122.557772905 45.57490201400003, -122.561384264 45.57631068000006, -122.561682613 45.57642672400004, -122.56145223 45.57656986500007, -122.5613036889999 45.57666357100004, -122.564971079 45.57807405900007, -122.567169193 45.57890780900004, -122.566891221 45.57919866000003, -122.566259943 45.58004701300007, -122.566071488 45.58026968500008, -122.566026936 45.58034782300007, -122.56583535 45.58040804300003, -122.566310517 45.58059334300003, -122.5658616429999 45.58116822300008, -122.565786342 45.58112943800006, -122.565842662 45.58091501300004, -122.565711135 45.58086353300007, -122.565650337 45.58084015100007, -122.5655852519999 45.58081390900003, -122.5654424369999 45.58075871400007, -122.565287207 45.58089855600008, -122.565226624 45.58088104300003, -122.563790446 45.58010799000004, -122.5637498519999 45.58021836100005, -122.5637281259999 45.58027259300007, -122.563698894 45.58035045600008, -122.563245126 45.58075311700003, -122.562783161 45.58146723100003, -122.562698051 45.58158035900004, -122.562502071 45.58182665500004, -122.562472843 45.58186633700006, -122.562035571 45.58241652000004, -122.561801025 45.58252253500007, -122.563423601 45.58335981900007, -122.563500332 45.58339955800005, -122.563579886 45.58344022600005, -122.564440973 45.58388586600006, -122.564771908 45.58405320200006, -122.565108278 45.58421652300007, -122.5656276239999 45.58446564400003, -122.565883118 45.58459027800006, -122.56612186 45.58471423400005, -122.571219512 45.58743707200006, -122.571412903 45.58754029700003, -122.571522551 45.58760293400007, -122.5717669969999 45.58772971200005, -122.572016875 45.58785247600008, -122.572270756 45.58797027400004, -122.572530069 45.58808405700006, -122.572791954 45.58819191800006, -122.576954453 45.58984373100003, -122.576925736 45.58993529300005, -122.576799399 45.59029293600003, -122.574827149 45.58947486900007, -122.5727498429999 45.58860384000008, -122.57153931 45.58809994400008, -122.5702910369999 45.58751643900007, -122.5659733099999 45.58515253800005, -122.561387869 45.58277761600004, -122.558256835 45.58086304200003, -122.557067194 45.58027345300007, -122.556391563 45.57990276200007, -122.555909641 45.57960692100005, -122.555697768 45.57949225400006, -122.5554918239999 45.57938727000004, -122.5553172739999 45.57930228300006, -122.555188486 45.57921060500007, -122.555080278 45.57910974700008, -122.5532885759999 45.57798364000007, -122.552917403 45.57774258900008, -122.552746051 45.57763013100003, -122.552487064 45.57744581300005, -122.552000933 45.57714807400004, -122.551782939 45.57701784600005, -122.55157766 45.57689228600003, -122.551205167 45.57669139100005, -122.551100167 45.57664039900004, -122.55087561 45.57659839300004, -122.550775298 45.57652284400007, -122.550755137 45.57646642400005, -122.550699002 45.57641749700008, -122.550613472 45.57636518000004, -122.550496833 45.57630069000004, -122.550319692 45.57622063600007, -122.549896271 45.57592177000004, -122.549583693 45.57571980200004, -122.549281469 45.57553429200004, -122.5489483859999 45.57534345500005, -122.548790717 45.57526207400008, -122.548405743 45.57506237100006, -122.547954252 45.57479630400007, -122.547652532 45.57462448400003, -122.547322389 45.57443750700003, -122.547031272 45.57428899300004, -122.546675546 45.57412694400006)))"
