,gid,fma,fireblock,geom
356,372,19,1945,"MULTIPOLYGON (((-122.568663805 45.52635339600005, -122.568360096 45.52635103100005, -122.568416906 45.52271115300005, -122.567511365 45.52270297500007, -122.566841391 45.52270034300005, -122.566891479 45.51906450000007, -122.5691312229999 45.51907705300005, -122.570178549 45.51907972600003, -122.571355588 45.51908788200006, -122.5729908819999 45.51909852800003, -122.573947821 45.51910475500006, -122.5744952859999 45.51910955600005, -122.574505028 45.51910938000003, -122.575022878 45.51914212600008, -122.575544149 45.51911606800007, -122.575552535 45.51911689600007, -122.57603584 45.51911893300007, -122.577237931 45.51912657600008, -122.5790597819999 45.51913572100005, -122.580522511 45.51914938300007, -122.581483663 45.51915644900004, -122.5814720019999 45.52643636400006, -122.5722706399999 45.52637945500004, -122.570314689 45.52636576100008, -122.56933807 45.52635789800007, -122.568663805 45.52635339600005)))"
357,352,18,1815,"MULTIPOLYGON (((-122.734363783 45.46750839100008, -122.7335984809999 45.46750762000005, -122.733389699 45.46750580900004, -122.7311547739999 45.46749738100004, -122.728795994 45.46748837700005, -122.727983305 45.46748555200003, -122.7231835269999 45.46746406400007, -122.717998436 45.46744492500005, -122.718002002 45.46707282100004, -122.717999164 45.46685748700003, -122.717959719 45.46491975000004, -122.717974252 45.46472170200008, -122.718013886 45.46409728800006, -122.718045419 45.46362184300006, -122.7180675069999 45.46336784400006, -122.718078851 45.46330203000008, -122.718094213 45.46323222100006, -122.718113823 45.46316428800003, -122.7181494279999 45.46307842400006, -122.718221118 45.46295465800006, -122.718808015 45.46227169200006, -122.718878336 45.46218417700004, -122.718959166 45.46208079400003, -122.719037767 45.46195591500003, -122.719106292 45.46182241900004, -122.719193087 45.46158675000004, -122.719235625 45.46135781100003, -122.719251963 45.46117049800006, -122.7192464399999 45.46099339800003, -122.719183727 45.46045613700005, -122.719150438 45.46028055400006, -122.719075628 45.45986101200003, -122.719043455 45.45960708300004, -122.719030301 45.45948397800004, -122.719024138 45.45936171700004, -122.719019034 45.45830445000007, -122.719024205 45.45751034600005, -122.7190160549999 45.45662446900008, -122.7190127009999 45.45643166200006, -122.7190232569999 45.45631005700005, -122.719045261 45.45623228800008, -122.719126251 45.45609757200003, -122.7190097069999 45.45603422900007, -122.7189880079999 45.45540708200008, -122.718984533 45.45460531200007, -122.718741361 45.45450525600006, -122.719636727 45.45413646600008, -122.71991887 45.45402331300005, -122.7207792889999 45.45372176400008, -122.7209928779999 45.45374112800005, -122.72095092 45.45380655700006, -122.720424768 45.45465284200003, -122.72054079 45.45466724100004, -122.7210381789999 45.45468698700006, -122.721780213 45.45470199600004, -122.722148024 45.45471641300003, -122.724304909 45.45473435100007, -122.725327195 45.45473019800005, -122.726263339 45.45472868600007, -122.727301451 45.45473791400008, -122.72836474 45.45475056100003, -122.728397584 45.46186954500007, -122.729411811 45.46186943000004, -122.730399701 45.46187177700006, -122.730876809 45.46186935800006, -122.731431693 45.46186346700006, -122.731612689 45.46186680100004, -122.731688382 45.46184574800003, -122.732432639 45.46184400300007, -122.73426519 45.46185044400005, -122.7342657619999 45.46236051700004, -122.734295182 45.46498476700003, -122.734321081 45.46507727200003, -122.7343190399999 45.46668882200004, -122.734295316 45.46675781700003, -122.734300182 45.46723549600006, -122.734363783 45.46750839100008)))"
358,353,18,1818,"MULTIPOLYGON (((-122.699806837 45.46969528800003, -122.697391078 45.46968966700007, -122.694249486 45.46969689300005, -122.693476253 45.46902243100004, -122.694356764 45.46833105000007, -122.693510734 45.46832959700004, -122.693055703 45.46832850100003, -122.6923086149999 45.46833102300008, -122.6917034209999 45.46833278900004, -122.691373342 45.46836062900007, -122.691253866 45.46825717500008, -122.690823585 45.46842888600003, -122.691370868 45.46789955300005, -122.69186179 45.46746038600003, -122.692238751 45.46713304400004, -122.69279929 45.46669548000006, -122.693105125 45.46647229200005, -122.693872034 45.46590252500005, -122.694167833 45.46570791900007, -122.694355694 45.46560055000003, -122.694485431 45.46553736900006, -122.6946333929999 45.46547775700003, -122.694816227 45.46542041400005, -122.695028521 45.46536936100006, -122.695058919 45.46536388500004, -122.695315853 45.46531589300008, -122.695620284 45.46527286700007, -122.696028306 45.46521023700006, -122.696626384 45.46513319800005, -122.697351838 45.46504001100004, -122.698335666 45.46497222100004, -122.698870079 45.46501191600004, -122.699087909 45.46488830100003, -122.6993112979999 45.46476457800003, -122.7002502989999 45.46422182100008, -122.701238193 45.46364874600005, -122.701504698 45.46348894600004, -122.702121445 45.46314032800007, -122.7026106119999 45.46287443400007, -122.703370729 45.46242025800007, -122.703606232 45.46228650400008, -122.704772383 45.46161207100005, -122.704946421 45.46150788700004, -122.705162795 45.46138330900004, -122.7064955879999 45.46063027000008, -122.7077702239999 45.45988518600007, -122.7085135569999 45.45946654200003, -122.710369402 45.45839303400004, -122.711812885 45.45755653800006, -122.713205483 45.45677191400006, -122.713413348 45.45667979200005, -122.713775205 45.45650539600007, -122.714059465 45.45637459500006, -122.714546444 45.45616253800006, -122.715139309 45.45591906400006, -122.717334444 45.45506211000003, -122.718741361 45.45450525600006, -122.718984533 45.45460531200007, -122.7189880079999 45.45540708200008, -122.7190097069999 45.45603422900007, -122.719126251 45.45609757200003, -122.719045261 45.45623228800008, -122.7190232569999 45.45631005700005, -122.7190127009999 45.45643166200006, -122.7190160549999 45.45662446900008, -122.719024205 45.45751034600005, -122.719019034 45.45830445000007, -122.719024138 45.45936171700004, -122.719030301 45.45948397800004, -122.719043455 45.45960708300004, -122.719075628 45.45986101200003, -122.719150438 45.46028055400006, -122.719183727 45.46045613700005, -122.7192464399999 45.46099339800003, -122.719251963 45.46117049800006, -122.719235625 45.46135781100003, -122.719193087 45.46158675000004, -122.719106292 45.46182241900004, -122.719037767 45.46195591500003, -122.718959166 45.46208079400003, -122.718878336 45.46218417700004, -122.718808015 45.46227169200006, -122.718221118 45.46295465800006, -122.7181494279999 45.46307842400006, -122.718113823 45.46316428800003, -122.718094213 45.46323222100006, -122.718078851 45.46330203000008, -122.7180675069999 45.46336784400006, -122.718045419 45.46362184300006, -122.718013886 45.46409728800006, -122.717974252 45.46472170200008, -122.717959719 45.46491975000004, -122.717999164 45.46685748700003, -122.718002002 45.46707282100004, -122.717998436 45.46744492500005, -122.715371209 45.46743789600004, -122.715374374 45.46751909500006, -122.715406251 45.46826548600006, -122.715385084 45.46897178200004, -122.714149126 45.46896234100006, -122.712958631 45.46894124000005, -122.7128618949999 45.46892254500005, -122.712763767 45.46890387700006, -122.7116442989999 45.46888433100003, -122.711637567 45.46842529200006, -122.71111726 45.46849895300005, -122.7109427189999 45.46851895900005, -122.710653158 45.46855096900003, -122.710262176 45.46858689000004, -122.709926694 45.46861880400007, -122.709828547 45.46863537900003, -122.709733181 45.46865190000005, -122.709624215 45.46867651600007, -122.709509993 45.46870906500004, -122.7092833949999 45.46878587500004, -122.70910422 45.46886568800005, -122.709030661 45.46890626500004, -122.7088719019999 45.46901016000004, -122.708571105 45.46921860800006, -122.708135296 45.46953343100006, -122.70803015 45.46962063000007, -122.707960434 45.46968854500005, -122.707879116 45.46978018000004, -122.706249352 45.46977039500007, -122.705040996 45.46975542900003, -122.7039092639999 45.46974289600007, -122.702527033 45.46972928400004, -122.702525494 45.46918692900005, -122.701659908 45.46918395300003, -122.699930433 45.46918578000003, -122.699806837 45.46969528800003)))"
359,354,18,1821,"MULTIPOLYGON (((-122.726656608 45.44537800700004, -122.7269186669999 45.44496661600004, -122.726956682 45.44487188900007, -122.726987671 45.44477534100008, -122.727030633 45.44466485400005, -122.727058076 45.44454879300008, -122.727069023 45.44447319400007, -122.727081284 45.44439561100006, -122.727081687 45.44433490300003, -122.727094505 45.44420052400005, -122.7271001349999 45.44395369500006, -122.7270891859999 45.44363865300005, -122.7270963669999 45.44350242600007, -122.727080653 45.44324328300007, -122.727079238 45.44253252100003, -122.7270777479999 45.44181980100007, -122.727077684 45.44110803400008, -122.727084263 45.44038830400007, -122.727080953 45.43955813300005, -122.727084957 45.43866614100006, -122.727038568 45.43836941100005, -122.727010176 45.43817708900008, -122.726917018 45.43796448400008, -122.726784502 45.43770565000005, -122.726653356 45.43751728000007, -122.726491333 45.43732167800005, -122.728212619 45.43433152400007, -122.733431708 45.43437200000005, -122.7334254689999 45.43623134300003, -122.734721899 45.43624036500006, -122.734720185 45.43683370400004, -122.735917853 45.43684169900007, -122.736510199 45.43687518900003, -122.737376567 45.43687494200003, -122.738648077 45.43688636300004, -122.741134937 45.43689557400006, -122.743247342 45.43693065600007, -122.743700927 45.43693647200007, -122.743731076 45.43812347800008, -122.7437309219999 45.43847202500007, -122.743732312 45.43896544200004, -122.743741503 45.44039664200005, -122.743697689 45.44048463500008, -122.743695412 45.44081462000003, -122.743694139 45.44102905900007, -122.74368337 45.44272988800003, -122.743717149 45.44284573600004, -122.743716956 45.44294658200005, -122.743645192 45.44296071300005, -122.743653184 45.44471404400008, -122.743663183 45.44510840700008, -122.74472753 45.44511696200004, -122.74473092 45.44478010000006, -122.744681853 45.44473504500007, -122.745328987 45.44474490200002, -122.745537725 45.44474767000003, -122.745715771 45.44474810200006, -122.745722173 45.44561444000004, -122.745332643 45.44561227300005, -122.745317842 45.44770284400005, -122.744363592 45.44770095200005, -122.744366522 45.44728185900004, -122.743625504 45.44729047600003, -122.743622532 45.44763809800003, -122.743622493 45.44767236600006, -122.7436200229999 45.44782123000005, -122.743673843 45.45122924100008, -122.7436086709999 45.45134017000004, -122.743615776 45.45201361900007, -122.7436109879999 45.45270296600006, -122.740871813 45.45269774300004, -122.739150986 45.45269510600008, -122.7391533539999 45.45303772900007, -122.738076657 45.45303719200007, -122.73692305 45.45302639700003, -122.7364527349999 45.45302283600006, -122.735987941 45.45301818600007, -122.735769483 45.45301656800007, -122.734617305 45.45300670000006, -122.733421424 45.45298200700006, -122.733432683 45.45479107000006, -122.733324415 45.45479709300002, -122.7324199339999 45.45479021500006, -122.731662643 45.45477655000008, -122.7314079989999 45.45477464900006, -122.7303866409999 45.45476709000008, -122.7299916809999 45.45476987000006, -122.729379146 45.45475827300004, -122.72836474 45.45475056100003, -122.727301451 45.45473791400008, -122.726263339 45.45472868600007, -122.725327195 45.45473019800005, -122.724304909 45.45473435100007, -122.722148024 45.45471641300003, -122.721780213 45.45470199600004, -122.7210381789999 45.45468698700006, -122.72054079 45.45466724100004, -122.720424768 45.45465284200003, -122.72095092 45.45380655700006, -122.7209928779999 45.45374112800005, -122.721073234 45.45362600400006, -122.72114803 45.45351098700007, -122.72178489 45.45257933600004, -122.722484187 45.45157304300005, -122.722812576 45.45111338400005, -122.722927445 45.45099171600003, -122.723039851 45.45084268100004, -122.723212803 45.45067680900007, -122.723287961 45.45060682000008, -122.723360147 45.45053199300003, -122.723424338 45.45046613200003, -122.723496717 45.45039619600004, -122.723553805 45.45032655700004, -122.72361097 45.45025887400004, -122.7236773659999 45.45017828500005, -122.7237275049999 45.45010878000005, -122.723782896 45.45003134100006, -122.72383408 45.44995300500005, -122.7238851499999 45.44987173300007, -122.723924015 45.44979853100006, -122.723973464 45.44971141500008, -122.724020438 45.44963218200007, -122.7240646719999 45.44955397900003, -122.724123122 45.44944808900004, -122.724189644 45.44933518800008, -122.725241028 45.44751825300006, -122.726656608 45.44537800700004)))"
360,355,18,1822,"MULTIPOLYGON (((-122.738648077 45.43688636300004, -122.737376567 45.43687494200003, -122.736510199 45.43687518900003, -122.735917853 45.43684169900007, -122.734720185 45.43683370400004, -122.734721899 45.43624036500006, -122.7334254689999 45.43623134300003, -122.733431708 45.43437200000005, -122.73343197 45.43420163900004, -122.733432641 45.43390007800008, -122.733433312 45.43359851600007, -122.733434835 45.43328323100008, -122.733411265 45.43321417700002, -122.734595 45.43322343400007, -122.734812032 45.43322606000004, -122.738210124 45.43324988500007, -122.738577299 45.43325153300003, -122.7386507849999 45.43328142800004, -122.740037582 45.43329156200008, -122.741151845 45.43330210800008, -122.74129558 45.43335021100006, -122.742982743 45.43336031500007, -122.7431384819999 45.43336020700008, -122.74319854 45.43333161900006, -122.7432811 45.43330944400003, -122.7433792909999 45.43329577600008, -122.743426572 45.43329582900003, -122.743527118 45.43330659100008, -122.743673711 45.43335659300004, -122.743675063 45.43420149300005, -122.743673442 45.43507680200003, -122.743691083 45.43622880700008, -122.743700927 45.43693647200007, -122.743247342 45.43693065600007, -122.741134937 45.43689557400006, -122.738648077 45.43688636300004)))"
361,362,19,1915,"MULTIPOLYGON (((-122.570851254 45.53714342200004, -122.570855471 45.53607528600003, -122.570857152 45.53524312700006, -122.570856903 45.53515991900008, -122.570872002 45.53503923200003, -122.5708972739999 45.53496829100004, -122.570925365 45.53489827800007, -122.570957704 45.53483014500006, -122.5709914349999 45.53476198900006, -122.571027986 45.53469476000004, -122.571201528 45.53441164600008, -122.5713070739999 45.53428835100004, -122.571423721 45.53416387700003, -122.5715169869999 45.53404765600004, -122.5716292769999 45.53388018500004, -122.571707373 45.53372997300005, -122.571757306 45.53360963800003, -122.5717994939999 45.53350608500006, -122.569796433 45.53346777400003, -122.568567698 45.53346346400008, -122.568663721 45.53326985600006, -122.568665215 45.53258454700006, -122.5686661559999 45.53226636400007, -122.568633829 45.53202905500007, -122.568619664 45.53190791700007, -122.568632593 45.53172755300005, -122.568617713 45.53166320800005, -122.569055369 45.53159463400004, -122.5696245139999 45.53154131100007, -122.569748044 45.53152929600003, -122.570444392 45.53148836300005, -122.571085204 45.53149052200007, -122.571723446 45.53149859800004, -122.57223873 45.53153434100005, -122.5728053399999 45.53160244100008, -122.5736535299999 45.53175258800007, -122.573953989 45.53181765200003, -122.5742848949999 45.53191545100003, -122.574885249 45.53210628400006, -122.575787681 45.53240619700006, -122.579028132 45.53348519500003, -122.579030871 45.53367408700007, -122.57902993 45.53383857300003, -122.579026237 45.53396590600005, -122.579023821 45.53405210000005, -122.579018208 45.53450742600006, -122.579010356 45.53501565700003, -122.578994493 45.53568556400006, -122.578989092 45.53637486100007, -122.578973185 45.53723371200005, -122.578838645 45.53721167100008, -122.576420991 45.53719173900004, -122.574472911 45.53717503000007, -122.57314911 45.53716367300007, -122.572474681 45.53715821400004, -122.570851254 45.53714342200004)))"
362,356,18,1824,"MULTIPOLYGON (((-122.718741361 45.45450525600006, -122.717334444 45.45506211000003, -122.715139309 45.45591906400006, -122.714546444 45.45616253800006, -122.714059465 45.45637459500006, -122.713775205 45.45650539600007, -122.713413348 45.45667979200005, -122.713014603 45.45658566100008, -122.71159397 45.45682843400004, -122.710952831 45.45690442500006, -122.7105672009999 45.45696863700005, -122.710004667 45.45706268900005, -122.710034571 45.45690155100004, -122.710057868 45.45674935200003, -122.7100704969999 45.45668057500006, -122.7101038229999 45.45660748500006, -122.71014787 45.45655964300005, -122.710199172 45.45651949300003, -122.710205932 45.45651446800008, -122.710286084 45.45646495100004, -122.710883694 45.45619986800006, -122.711106128 45.45608886800005, -122.7112397289999 45.45601874000005, -122.711322012 45.45595253800008, -122.711371086 45.45589089200007, -122.711425071 45.45581250700008, -122.711510079 45.45563757900004, -122.7115701979999 45.45550229200006, -122.7116004379999 45.45542142800008, -122.711638219 45.45531985900004, -122.7116669549999 45.45523608600007, -122.711701289 45.45515318500003, -122.711745392 45.45507107500003, -122.711772756 45.45502355300005, -122.7117923499999 45.45499086700005, -122.711847687 45.45491147800004, -122.711907307 45.45483494300004, -122.7119725269999 45.45475927900003, -122.71204342 45.45468644200002, -122.712115399 45.45460575200008, -122.712189071 45.45453286200006, -122.71226402 45.45445701000006, -122.712322706 45.45439224100005, -122.712386952 45.45432736500004, -122.712441697 45.45426854600004, -122.712493509 45.45420586700004, -122.712549073 45.45413234800003, -122.712594906 45.45405901500004, -122.7126379589999 45.45398573500006, -122.712676765 45.45391058000007, -122.712711402 45.45383550500003, -122.71274461 45.45375947900004, -122.7127708309999 45.45368260800007, -122.71279566 45.45360576400003, -122.712813502 45.45352807500007, -122.712829953 45.45345041400003, -122.7128355519999 45.45330834500004, -122.7128224149999 45.45189877700005, -122.712834889 45.45053962600008, -122.7128300159999 45.44919941100005, -122.7128288549999 45.44827619500006, -122.71282701 45.44762125100004, -122.712827029 45.44737159400006, -122.712831047 45.44679583900006, -122.712828364 45.44647672300005, -122.712831466 45.44609189800008, -122.712836836 45.44572954900008, -122.71286764 45.44537747800007, -122.726656608 45.44537800700004, -122.725241028 45.44751825300006, -122.724189644 45.44933518800008, -122.724123122 45.44944808900004, -122.7240646719999 45.44955397900003, -122.724020438 45.44963218200007, -122.723973464 45.44971141500008, -122.723924015 45.44979853100006, -122.7238851499999 45.44987173300007, -122.72383408 45.44995300500005, -122.723782896 45.45003134100006, -122.7237275049999 45.45010878000005, -122.7236773659999 45.45017828500005, -122.72361097 45.45025887400004, -122.723553805 45.45032655700004, -122.723496717 45.45039619600004, -122.723424338 45.45046613200003, -122.723360147 45.45053199300003, -122.723287961 45.45060682000008, -122.723212803 45.45067680900007, -122.723039851 45.45084268100004, -122.722927445 45.45099171600003, -122.722812576 45.45111338400005, -122.722484187 45.45157304300005, -122.72178489 45.45257933600004, -122.72114803 45.45351098700007, -122.721073234 45.45362600400006, -122.7209928779999 45.45374112800005, -122.7207792889999 45.45372176400008, -122.71991887 45.45402331300005, -122.719636727 45.45413646600008, -122.718741361 45.45450525600006)))"
363,357,18,1827,"MULTIPOLYGON (((-122.695169821 45.46157094600005, -122.695156506 45.46115413300004, -122.695157862 45.46046878300007, -122.695160572 45.45978242800004, -122.6951619279999 45.45909707800007, -122.695188769 45.45863935500006, -122.695514324 45.45845983900006, -122.695520841 45.45682766200008, -122.694750198 45.45682869500007, -122.6947482959999 45.45544633400004, -122.694738312 45.45439504100005, -122.6947577339999 45.45439369000007, -122.694691082 45.45418055600004, -122.694688143 45.45414047200006, -122.695282184 45.45399791900007, -122.695430366 45.45405284800006, -122.695136449 45.45361007200006, -122.695043272 45.45357465000006, -122.694806425 45.45313274000006, -122.694433993 45.45321426900006, -122.694066734 45.45169986900004, -122.694066558 45.45137091600003, -122.6937994959999 45.45137112700007, -122.69379917 45.45103826100006, -122.693799687 45.45079936600007, -122.693924897 45.45079990900007, -122.693727175 45.45014577700005, -122.693695034 45.44963729200003, -122.6936630279999 45.44963692500005, -122.69367881 45.44925284100003, -122.693503492 45.44925129700005, -122.69363386 45.44873676900005, -122.694472595 45.44902521300003, -122.694521152 45.44894987800006, -122.694571212 45.44887745100004, -122.694629723 45.44880779800008, -122.6946925189999 45.44874100200008, -122.6947609859999 45.44867703400007, -122.694953359 45.44850789700007, -122.695254587 45.44831220200007, -122.695366442 45.44825523600008, -122.695479913 45.44820411300003, -122.695600486 45.44815677000003, -122.695722598 45.44811331500006, -122.695847718 45.44807567500004, -122.696023847 45.44802629000003, -122.696235214 45.44798895700006, -122.6965149489999 45.44795716900006, -122.696780151 45.44794523900003, -122.696972145 45.44794645900004, -122.697398251 45.44799508400007, -122.6975312339999 45.44801701300003, -122.697664446 45.44804481200003, -122.698505563 45.44821471700004, -122.698826723 45.44828297100003, -122.699030819 45.44830941000004, -122.6992298 45.44831147100007, -122.699379794 45.44830566000007, -122.699555477 45.44828075300006, -122.699771343 45.44821591500005, -122.699916475 45.44815634800005, -122.70015883 45.44848849100003, -122.700437064 45.44870539800007, -122.701089775 45.44817594700004, -122.7005327259999 45.44779893200007, -122.700903056 45.44726902200006, -122.703428459 45.44729300600005, -122.705084326 45.44731112900007, -122.706489755 45.44732719000007, -122.706490818 45.44735458300005, -122.70660797 45.44732687500004, -122.707150509 45.44732916800007, -122.7076586059999 45.44733995400003, -122.708820544 45.44735381800007, -122.708916846 45.44732651000004, -122.709170143 45.44733044400004, -122.710860837 45.44734977200005, -122.712827029 45.44737159400006, -122.71282701 45.44762125100004, -122.7128288549999 45.44827619500006, -122.7128300159999 45.44919941100005, -122.712834889 45.45053962600008, -122.7128224149999 45.45189877700005, -122.7128355519999 45.45330834500004, -122.712829953 45.45345041400003, -122.712813502 45.45352807500007, -122.71279566 45.45360576400003, -122.7127708309999 45.45368260800007, -122.71274461 45.45375947900004, -122.712711402 45.45383550500003, -122.712676765 45.45391058000007, -122.7126379589999 45.45398573500006, -122.712594906 45.45405901500004, -122.712549073 45.45413234800003, -122.712493509 45.45420586700004, -122.712441697 45.45426854600004, -122.712386952 45.45432736500004, -122.712322706 45.45439224100005, -122.71226402 45.45445701000006, -122.712189071 45.45453286200006, -122.712115399 45.45460575200008, -122.71204342 45.45468644200002, -122.7119725269999 45.45475927900003, -122.711907307 45.45483494300004, -122.711847687 45.45491147800004, -122.7117923499999 45.45499086700005, -122.711772756 45.45502355300005, -122.711745392 45.45507107500003, -122.711701289 45.45515318500003, -122.7116669549999 45.45523608600007, -122.711638219 45.45531985900004, -122.7116004379999 45.45542142800008, -122.7115701979999 45.45550229200006, -122.711510079 45.45563757900004, -122.711425071 45.45581250700008, -122.711371086 45.45589089200007, -122.711322012 45.45595253800008, -122.7112397289999 45.45601874000005, -122.711106128 45.45608886800005, -122.710883694 45.45619986800006, -122.710286084 45.45646495100004, -122.710205932 45.45651446800008, -122.710199172 45.45651949300003, -122.71014787 45.45655964300005, -122.7101038229999 45.45660748500006, -122.7100704969999 45.45668057500006, -122.710057868 45.45674935200003, -122.710034571 45.45690155100004, -122.710004667 45.45706268900005, -122.7105672009999 45.45696863700005, -122.710952831 45.45690442500006, -122.71159397 45.45682843400004, -122.713014603 45.45658566100008, -122.713413348 45.45667979200005, -122.713205483 45.45677191400006, -122.711812885 45.45755653800006, -122.710369402 45.45839303400004, -122.7085135569999 45.45946654200003, -122.7077702239999 45.45988518600007, -122.7064955879999 45.46063027000008, -122.705162795 45.46138330900004, -122.704946421 45.46150788700004, -122.704772383 45.46161207100005, -122.703606232 45.46228650400008, -122.703370729 45.46242025800007, -122.7026106119999 45.46287443400007, -122.702121445 45.46314032800007, -122.701504698 45.46348894600004, -122.701238193 45.46364874600005, -122.7002502989999 45.46422182100008, -122.6993112979999 45.46476457800003, -122.699087909 45.46488830100003, -122.698870079 45.46501191600004, -122.698335666 45.46497222100004, -122.697351838 45.46504001100004, -122.696626384 45.46513319800005, -122.696028306 45.46521023700006, -122.695620284 45.46527286700007, -122.695315853 45.46531589300008, -122.695192468 45.46485908700004, -122.695193541 45.46477878600007, -122.695191535 45.46418650900006, -122.695174779 45.46350052700006, -122.695178917 45.46281512400003, -122.695177493 45.46212982800006, -122.695169821 45.46157094600005)))"
364,358,18,1830,"MULTIPOLYGON (((-122.726656608 45.44537800700004, -122.71286764 45.44537747800007, -122.712868631 45.44468821200007, -122.712848717 45.44460537700007, -122.7128278709999 45.44396254700007, -122.712818581 45.44379530900005, -122.712811462 45.44325501400004, -122.712815823 45.44254512300006, -122.712817441 45.44183626300003, -122.7128163199999 45.44112843500005, -122.712808571 45.44103655400005, -122.7128329 45.44087552200006, -122.712822508 45.44046550200005, -122.7128216309999 45.44022859000006, -122.714571834 45.44024573200005, -122.7148472969999 45.44024824700006, -122.7148737969999 45.44028591800003, -122.714996318 45.44028942700004, -122.715011642 45.44029011100008, -122.7150128219999 45.44024896800005, -122.715019507 45.43984938800003, -122.715026917 45.43946839600005, -122.715044676 45.43838914400004, -122.715049235 45.43814919000005, -122.71726532 45.43816806300003, -122.717230487 45.44019927900007, -122.717228989 45.44026784200003, -122.717103939 45.44030648300003, -122.718586982 45.44031991500003, -122.718586768 45.44027879900005, -122.719090368 45.44028276600005, -122.719599564 45.44028760200007, -122.7195996249999 45.44032480500005, -122.723080549 45.44035825400005, -122.723575696 45.44035942800008, -122.724521942 45.44037339500005, -122.72451883 45.44032939800007, -122.72452638 45.43991805100006, -122.7251093409999 45.43992436900004, -122.725109165 45.43999094800006, -122.725107239 45.44033267400005, -122.72581817 45.44033944400007, -122.725818427 45.44038153800005, -122.727084263 45.44038830400007, -122.727077684 45.44110803400008, -122.7270777479999 45.44181980100007, -122.727079238 45.44253252100003, -122.727080653 45.44324328300007, -122.7270963669999 45.44350242600007, -122.7270891859999 45.44363865300005, -122.7271001349999 45.44395369500006, -122.727094505 45.44420052400005, -122.727081687 45.44433490300003, -122.727081284 45.44439561100006, -122.727069023 45.44447319400007, -122.727058076 45.44454879300008, -122.727030633 45.44466485400005, -122.726987671 45.44477534100008, -122.726956682 45.44487188900007, -122.7269186669999 45.44496661600004, -122.726656608 45.44537800700004)))"
365,359,18,1833,"MULTIPOLYGON (((-122.699916475 45.44815634800005, -122.700021337 45.44809853200007, -122.700131154 45.44802495700003, -122.700264891 45.44792253100007, -122.700458396 45.44771126400008, -122.700666761 45.44745271800008, -122.701308575 45.44649857200005, -122.701493671 45.44621403600007, -122.701587718 45.44594887000005, -122.701604651 45.44581147900004, -122.701589784 45.44560714500005, -122.701533148 45.44540165500007, -122.701474286 45.44528236100007, -122.7015695649999 45.44522864400005, -122.701513419 45.44514356600007, -122.70144901 45.44506060400005, -122.701377765 45.44498071100003, -122.701791698 45.44370980700006, -122.7024886949999 45.44371503100007, -122.702479972 45.44259223800003, -122.702433862 45.44186863300007, -122.702461942 45.44072653100005, -122.702469969 45.44014384800005, -122.7012176599999 45.44012676000006, -122.701224785 45.43926898300003, -122.701194884 45.43831695000006, -122.702480732 45.43833926700006, -122.702487546 45.43761758100004, -122.701139462 45.43706483800003, -122.702017868 45.43565186800004, -122.702548812 45.43578853200006, -122.702570426 45.43573622800005, -122.7014886329999 45.43545153000008, -122.701018091 45.43533034600006, -122.7004719339999 45.43515970000004, -122.699309283 45.43479723100006, -122.700018346 45.43432642300007, -122.700454244 45.43405567900004, -122.7008233399999 45.43381950300005, -122.700943218 45.43382699300003, -122.7051013069999 45.43483877900007, -122.7076724089999 45.43490779600006, -122.707671277 45.43541594200008, -122.707670134 45.43563722800008, -122.7076644429999 45.43645777700004, -122.707664855 45.43654000900005, -122.7076646419999 45.43657036300004, -122.708209858 45.43657259800005, -122.7082047 45.43747831300004, -122.7076594389999 45.43747510100008, -122.7076563689999 45.43793335200007, -122.707651058 45.43876368400004, -122.707647556 45.43917494900006, -122.707644669 45.43970956300006, -122.707643618 45.43996903000004, -122.707642025 45.44010710500004, -122.707633908 45.44018460600006, -122.708485117 45.44018682700005, -122.709663548 45.44019938300005, -122.710224465 45.44021109700003, -122.710241449 45.43771420500008, -122.710242077 45.43730103600006, -122.7102441709999 45.43688979700005, -122.710250971 45.43516850400005, -122.710253144 45.43468775100007, -122.71029051 45.43468311500004, -122.711230721 45.43468751400007, -122.711232697 45.43480985700006, -122.711238575 45.43492527100005, -122.712805783 45.43492540400007, -122.712830947 45.43492883400006, -122.712831061 45.43493176900006, -122.7128301659999 45.43551627800008, -122.712822241 45.43995836200003, -122.712857935 45.43998214900006, -122.712830845 45.44003652000004, -122.7128216309999 45.44022859000006, -122.712822508 45.44046550200005, -122.7128329 45.44087552200006, -122.712808571 45.44103655400005, -122.7128163199999 45.44112843500005, -122.712817441 45.44183626300003, -122.712815823 45.44254512300006, -122.712811462 45.44325501400004, -122.712818581 45.44379530900005, -122.7128278709999 45.44396254700007, -122.712848717 45.44460537700007, -122.712868631 45.44468821200007, -122.71286764 45.44537747800007, -122.712836836 45.44572954900008, -122.712831466 45.44609189800008, -122.712828364 45.44647672300005, -122.712831047 45.44679583900006, -122.712827029 45.44737159400006, -122.710860837 45.44734977200005, -122.709170143 45.44733044400004, -122.708916846 45.44732651000004, -122.708820544 45.44735381800007, -122.7076586059999 45.44733995400003, -122.707150509 45.44732916800007, -122.70660797 45.44732687500004, -122.706490818 45.44735458300005, -122.706489755 45.44732719000007, -122.705084326 45.44731112900007, -122.703428459 45.44729300600005, -122.700903056 45.44726902200006, -122.7005327259999 45.44779893200007, -122.701089775 45.44817594700004, -122.700437064 45.44870539800007, -122.70015883 45.44848849100003, -122.699916475 45.44815634800005)))"
